# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-06T16:01:21
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-369.28550098	-0.00303901
-369.25216765	-0.00762758
-369.21883431	-0.01393672
-369.18550098	-0.01931869
-369.15216765	-0.02588651
-369.11883431	-0.03108513
-369.08550098	-0.03456275
-369.05216765	-0.03706763
-369.01883431	-0.03792283
-368.98550098	-0.03485487
-368.95216765	-0.03210699
-368.91883431	-0.02878318
-368.88550098	-0.02341209
-368.85216765	-0.01643654
-368.81883431	-0.01026855
-368.78550098	-0.00305532
-368.75216765	0.00148566
-368.71883431	0.00401014
-368.68550098	0.00884998
-368.65216765	0.00976820
-368.61883431	0.01187748
-368.58550098	0.01283373
-368.55216765	0.01284573
-368.51883431	0.01276485
-368.48550098	0.01278929
-368.45216765	0.01140216
-368.41883431	0.01074792
-368.38550098	0.00848765
-368.35216765	0.00712387
-368.31883431	0.00655288
-368.28550098	0.00564333
-368.25216765	0.00504701
-368.21883432	0.00214682
-368.18550098	0.00340511
-368.15216765	0.00238308
-368.11883432	0.00058442
-368.08550098	-0.00132389
-368.05216765	-0.00013255
-368.01883432	-0.00175014
-367.98550098	-0.00234976
-367.95216765	-0.00386000
-367.91883432	-0.00351236
-367.88550098	-0.00651196
-367.85216765	-0.00812236
-367.81883432	-0.00861560
-367.78550098	-0.01082256
-367.75216765	-0.01452984
-367.71883432	-0.01502111
-367.68550098	-0.01501119
-367.65216765	-0.01620357
-367.61883432	-0.01703829
-367.58550098	-0.01547068
-367.55216765	-0.01429175
-367.51883432	-0.01291655
-367.48550098	-0.00931025
-367.45216765	-0.00654544
-367.41883432	-0.00200724
-367.38550098	0.00127623
-367.35216765	0.00372489
-367.31883432	0.00647125
-367.28550098	0.00802409
-367.25216765	0.00768916
-367.21883432	0.00860053
-367.18550098	0.00658714
-367.15216765	0.00420964
-367.11883432	0.00359190
-367.08550098	0.00226430
-367.05216765	-0.00027080
-367.01883432	-0.00067213
-366.98550098	-0.00190046
-366.95216765	-0.00413490
-366.91883432	-0.00341188
-366.88550098	-0.00483048
-366.85216765	-0.00328228
-366.81883432	-0.00222092
-366.78550098	-0.00220426
-366.75216765	-0.00199583
-366.71883432	-0.00128783
-366.68550098	-0.00109884
-366.65216765	-0.00204375
-366.61883432	-0.00123169
-366.58550098	-0.00249211
-366.55216765	-0.00169593
-366.51883432	-0.00159986
-366.48550098	-0.00061919
-366.45216765	-0.00149690
-366.41883432	-0.00156733
-366.38550098	-0.00164286
-366.35216765	-0.00194185
-366.31883432	-0.00291209
-366.28550098	-0.00241043
-366.25216765	-0.00194893
-366.21883432	-0.00238909
-366.18550098	-0.00150460
-366.15216765	-0.00270092
-366.11883432	-0.00384901
-366.08550098	-0.00151864
-366.05216765	-0.00283032
-366.01883432	-0.00118565
-365.98550098	-0.00209237
-365.95216765	-0.00215455
-365.91883432	-0.00376798
-365.88550098	-0.00248642
-365.85216765	-0.00120703
-365.81883432	-0.00064726
-365.78550098	-0.00165756
-365.75216765	-0.00030998
-365.71883432	-0.00050280
-365.68550098	-0.00001122
-365.65216765	0.00213353
-365.61883432	0.00155743
-365.58550098	0.00252373
-365.55216765	0.00139580
-365.51883432	0.00029516
-365.48550098	-0.00106673
-365.45216765	-0.00343659
-365.41883432	-0.00486228
-365.38550098	-0.00794064
-365.35216765	-0.00974703
-365.31883432	-0.01510820
-365.28550098	-0.02069902
-365.25216765	-0.02479324
-365.21883432	-0.02984230
-365.18550098	-0.03279312
-365.15216765	-0.03683833
-365.11883432	-0.03778697
-365.08550098	-0.03863460
-365.05216765	-0.03596422
-365.01883432	-0.03334544
-364.98550099	-0.02868882
-364.95216765	-0.02318889
-364.91883432	-0.01721555
-364.88550099	-0.01022241
-364.85216765	-0.00366994
-364.81883432	0.00121573
-364.78550099	0.00687127
-364.75216765	0.00916238
-364.71883432	0.01031473
-364.68550099	0.01108835
-364.65216765	0.00825778
-364.61883432	0.00476935
-364.58550099	-0.00202712
-364.55216765	-0.01050941
-364.51883432	-0.01795101
-364.48550099	-0.03064717
-364.45216765	-0.04110344
-364.41883432	-0.05061774
-364.38550099	-0.06006672
-364.35216765	-0.06659943
-364.31883432	-0.07059186
-364.28550099	-0.06835046
-364.25216765	-0.06461035
-364.21883432	-0.05545637
-364.18550099	-0.04445485
-364.15216765	-0.02889775
-364.11883432	-0.01421221
-364.08550099	-0.00020529
-364.05216765	0.01275922
-364.01883432	0.02156623
-363.98550099	0.02976724
-363.95216765	0.03157998
-363.91883432	0.03052349
-363.88550099	0.02740846
-363.85216765	0.02185128
-363.81883432	0.01656248
-363.78550099	0.00968377
-363.75216765	0.00399355
-363.71883432	0.00028368
-363.68550099	-0.00393570
-363.65216765	-0.00875859
-363.61883432	-0.00983549
-363.58550099	-0.01404997
-363.55216765	-0.01404578
-363.51883432	-0.01666102
-363.48550099	-0.01580201
-363.45216765	-0.01603476
-363.41883432	-0.01426200
-363.38550099	-0.01354544
-363.35216765	-0.01122538
-363.31883432	-0.00975044
-363.28550099	-0.00990136
-363.25216765	-0.00898857
-363.21883432	-0.00828156
-363.18550099	-0.00877601
-363.15216765	-0.00850444
-363.11883432	-0.01143989
-363.08550099	-0.01106844
-363.05216765	-0.01330803
-363.01883432	-0.01465563
-362.98550099	-0.01508552
-362.95216765	-0.01460655
-362.91883432	-0.01243651
-362.88550099	-0.00998201
-362.85216765	-0.00707036
-362.81883432	-0.00148603
-362.78550099	0.00440881
-362.75216765	0.01176269
-362.71883432	0.02058839
-362.68550099	0.02932895
-362.65216765	0.04048372
-362.61883432	0.05051569
-362.58550099	0.06257527
-362.55216765	0.07274364
-362.51883432	0.08548187
-362.48550099	0.09633405
-362.45216765	0.10955050
-362.41883432	0.12349464
-362.38550099	0.13889733
-362.35216765	0.15492098
-362.31883432	0.17414426
-362.28550099	0.19545349
-362.25216765	0.21968865
-362.21883432	0.24902974
-362.18550099	0.27922928
-362.15216765	0.31416419
-362.11883432	0.34936257
-362.08550099	0.39208284
-362.05216765	0.43572158
-362.01883432	0.48189151
-361.98550099	0.53340345
-361.95216765	0.58718384
-361.91883432	0.64572824
-361.88550099	0.70780438
-361.85216765	0.77224831
-361.81883432	0.83921660
-361.78550099	0.91115506
-361.75216766	0.98383795
-361.71883432	1.06035134
-361.68550099	1.13877586
-361.65216766	1.21996569
-361.61883432	1.30105727
-361.58550099	1.37986951
-361.55216766	1.46046076
-361.51883432	1.53543073
-361.48550099	1.60560102
-361.45216766	1.66395357
-361.41883432	1.70976209
-361.38550099	1.72652922
-361.35216766	1.71438272
-361.31883432	1.65174224
-361.28550099	1.52853414
-361.25216766	1.32617590
-361.21883432	1.02626404
-361.18550099	0.61157987
-361.15216766	0.06954181
-361.11883432	-0.61297862
-361.08550099	-1.43045281
-361.05216766	-2.38024058
-361.01883432	-3.43075922
-360.98550099	-4.53572254
