# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-15T20:06:16
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-358.91887548	0.32300592
-358.88554214	0.23804965
-358.85220880	0.15588733
-358.81887546	0.08540786
-358.78554212	0.03179638
-358.75220878	-0.00380894
-358.71887545	-0.01749975
-358.68554211	-0.01078124
-358.65220877	0.01258279
-358.61887543	0.04661895
-358.58554209	0.08504847
-358.55220875	0.11852047
-358.51887541	0.14583690
-358.48554208	0.16358912
-358.45220874	0.17202364
-358.41887540	0.17716018
-358.38554206	0.17570478
-358.35220872	0.17080291
-358.31887538	0.16384310
-358.28554204	0.15131661
-358.25220871	0.13495946
-358.21887537	0.11501978
-358.18554203	0.08961236
-358.15220869	0.06402616
-358.11887535	0.03621708
-358.08554201	0.01280367
-358.05220867	-0.00863830
-358.01887534	-0.02475872
-357.98554200	-0.03565180
-357.95220866	-0.04454201
-357.91887532	-0.05154807
-357.88554198	-0.05763944
-357.85220864	-0.06395179
-357.81887530	-0.07330576
-357.78554197	-0.08265182
-357.75220863	-0.09269314
-357.71887529	-0.10023971
-357.68554195	-0.10494176
-357.65220861	-0.10328205
-357.61887527	-0.09569293
-357.58554193	-0.07537619
-357.55220860	-0.04934171
-357.51887526	-0.01464709
-357.48554192	0.02461621
-357.45220858	0.06327868
-357.41887524	0.10493697
-357.38554190	0.13873044
-357.35220856	0.16748261
-357.31887522	0.18723071
-357.28554189	0.19563225
-357.25220855	0.19189767
-357.21887521	0.17393195
-357.18554187	0.14267090
-357.15220853	0.10032329
-357.11887519	0.04594912
-357.08554185	-0.01251992
-357.05220852	-0.07222830
-357.01887518	-0.12245877
-356.98554184	-0.15979916
-356.95220850	-0.18055973
-356.91887516	-0.18119965
-356.88554182	-0.16073580
-356.85220848	-0.12611716
-356.81887515	-0.07847809
-356.78554181	-0.02409175
-356.75220847	0.02570322
-356.71887513	0.07265907
-356.68554179	0.10849562
-356.65220845	0.13151305
-356.61887511	0.13945974
-356.58554178	0.13279762
-356.55220844	0.11318180
-356.51887510	0.08547275
-356.48554176	0.05182091
-356.45220842	0.01647646
-356.41887508	-0.01616674
-356.38554174	-0.04552553
-356.35220841	-0.06727065
-356.31887507	-0.08127981
-356.28554173	-0.09204215
-356.25220839	-0.09705023
-356.21887505	-0.09629262
-356.18554171	-0.08973566
-356.15220837	-0.08063139
-356.11887504	-0.06807686
-356.08554170	-0.05107719
-356.05220836	-0.03384901
-356.01887502	-0.01389085
-355.98554168	0.00437225
-355.95220834	0.02057929
-355.91887500	0.03379579
-355.88554167	0.04054061
-355.85220833	0.04024351
-355.81887499	0.03684074
-355.78554165	0.02386947
-355.75220831	0.01148815
-355.71887497	-0.00360204
-355.68554163	-0.01350993
-355.65220829	-0.01675193
-355.61887496	-0.01275326
-355.58554162	-0.00491539
-355.55220828	0.00838101
-355.51887494	0.01899318
-355.48554160	0.02898767
-355.45220826	0.03034928
-355.41887492	0.02538919
-355.38554159	0.01151016
-355.35220825	-0.00602086
-355.31887491	-0.02321683
-355.28554157	-0.03509883
-355.25220823	-0.04087468
-355.21887489	-0.04156637
-355.18554155	-0.03897740
-355.15220822	-0.03309657
-355.11887488	-0.03134564
-355.08554154	-0.03332986
-355.05220820	-0.03778066
-355.01887486	-0.04481680
-354.98554152	-0.05022637
-354.95220818	-0.05717725
-354.91887485	-0.06211649
-354.88554151	-0.06277428
-354.85220817	-0.06206664
-354.81887483	-0.05891698
-354.78554149	-0.05364485
-354.75220815	-0.04660360
-354.71887481	-0.04109996
-354.68554148	-0.03478079
-354.65220814	-0.02618771
-354.61887480	-0.01616802
-354.58554146	-0.00365903
-354.55220812	0.00874270
-354.51887478	0.02266728
-354.48554144	0.03181517
-354.45220811	0.03803851
-354.41887477	0.03832501
-354.38554143	0.02885838
-354.35220809	0.01793978
-354.31887475	0.00071942
-354.28554141	-0.01740149
-354.25220807	-0.03388979
-354.21887474	-0.04848948
-354.18554140	-0.05812814
-354.15220806	-0.06357844
-354.11887472	-0.06334981
-354.08554138	-0.06058993
-354.05220804	-0.05284461
-354.01887470	-0.04302067
-353.98554136	-0.03130010
-353.95220803	-0.02184375
-353.91887469	-0.01375446
-353.88554135	-0.00684175
-353.85220801	-0.00026076
-353.81887467	0.00463486
-353.78554133	0.01183541
-353.75220799	0.02294938
-353.71887466	0.03288786
-353.68554132	0.04528195
-353.65220798	0.05087919
-353.61887464	0.05226098
-353.58554130	0.04514440
-353.55220796	0.02998757
-353.51887462	0.01147298
-353.48554129	-0.00895651
-353.45220795	-0.02600449
-353.41887461	-0.03920590
-353.38554127	-0.04593660
-353.35220793	-0.04949887
-353.31887459	-0.04929905
