# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-15T20:00:26
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-375.38554475	-0.00070244
-375.35221141	-0.00137681
-375.31887807	-0.00165767
-375.28554473	-0.00144084
-375.25221139	-0.00136380
-375.21887805	-0.00134767
-375.18554471	-0.00146071
-375.15221138	-0.00201538
-375.11887804	-0.00183349
-375.08554470	-0.00141542
-375.05221136	-0.00154426
-375.01887802	-0.00066457
-374.98554468	-0.00186803
-374.95221134	-0.00169589
-374.91887801	-0.00186254
-374.88554467	-0.00091003
-374.85221133	-0.00021220
-374.81887799	-0.00228979
-374.78554465	-0.00137915
-374.75221131	-0.00132960
-374.71887797	-0.00162643
-374.68554464	-0.00187264
-374.65221130	-0.00032889
-374.61887796	-0.00111352
-374.58554462	-0.00014758
-374.55221128	-0.00175447
-374.51887794	-0.00181694
-374.48554460	-0.00117800
-374.45221127	-0.00104494
-374.41887793	-0.00107182
-374.38554459	-0.00173222
-374.35221125	-0.00228494
-374.31887791	-0.00204799
-374.28554457	-0.00191360
-374.25221123	-0.00202076
-374.21887790	-0.00121270
-374.18554456	-0.00087594
-374.15221122	-0.00277230
-374.11887788	-0.00091617
-374.08554454	-0.00128825
-374.05221120	-0.00115179
-374.01887786	-0.00163328
-373.98554453	-0.00099706
-373.95221119	-0.00125489
-373.91887785	-0.00038776
-373.88554451	-0.00192796
-373.85221117	-0.00137518
-373.81887783	-0.00165072
-373.78554449	-0.00182270
-373.75221115	-0.00151544
-373.71887782	-0.00159283
-373.68554448	-0.00077056
-373.65221114	-0.00219931
-373.61887780	-0.00218854
-373.58554446	-0.00054817
-373.55221112	-0.00041843
-373.51887778	-0.00067879
-373.48554445	-0.00108079
-373.45221111	-0.00065274
-373.41887777	-0.00091357
-373.38554443	-0.00042181
-373.35221109	-0.00146271
-373.31887775	-0.00117383
-373.28554441	-0.00237927
-373.25221108	-0.00341972
-373.21887774	-0.00003575
-373.18554440	-0.00063985
-373.15221106	-0.00182961
-373.11887772	0.00056240
-373.08554438	-0.00136563
-373.05221104	-0.00163671
-373.01887771	-0.00218324
-372.98554437	-0.00205615
-372.95221103	-0.00084634
-372.91887769	-0.00150648
-372.88554435	-0.00269773
-372.85221101	-0.00139030
-372.81887767	-0.00116086
-372.78554434	-0.00134594
-372.75221100	-0.00107600
-372.71887766	-0.00203019
-372.68554432	-0.00234025
-372.65221098	-0.00177307
-372.61887764	-0.00150018
-372.58554430	-0.00206572
-372.55221097	-0.00190386
-372.51887763	-0.00166475
-372.48554429	-0.00236270
-372.45221095	-0.00129741
-372.41887761	-0.00102128
-372.38554427	-0.00080199
-372.35221093	0.00003189
-372.31887760	-0.00167534
-372.28554426	-0.00159121
-372.25221092	-0.00202804
-372.21887758	-0.00143395
-372.18554424	-0.00140324
-372.15221090	-0.00296168
-372.11887756	-0.00142302
-372.08554422	-0.00118403
-372.05221089	-0.00143079
-372.01887755	-0.00159015
-371.98554421	-0.00191527
-371.95221087	-0.00115395
-371.91887753	-0.00276413
-371.88554419	-0.00200715
-371.85221085	-0.00149273
-371.81887752	-0.00210208
-371.78554418	-0.00137717
-371.75221084	-0.00147810
-371.71887750	-0.00201303
-371.68554416	-0.00112368
-371.65221082	-0.00266751
-371.61887748	-0.00112391
-371.58554415	-0.00171849
-371.55221081	-0.00123390
-371.51887747	-0.00160041
-371.48554413	-0.00129988
-371.45221079	-0.00200317
-371.41887745	-0.00205323
-371.38554411	-0.00203781
-371.35221078	-0.00122684
-371.31887744	-0.00157776
-371.28554410	-0.00265513
-371.25221076	-0.00164358
-371.21887742	-0.00103346
-371.18554408	-0.00232366
-371.15221074	-0.00115680
-371.11887741	-0.00118576
-371.08554407	-0.00238598
-371.05221073	-0.00300536
-371.01887739	-0.00069368
-370.98554405	-0.00170533
-370.95221071	-0.00158606
-370.91887737	-0.00037317
-370.88554404	-0.00116313
-370.85221070	-0.00192198
-370.81887736	-0.00162421
-370.78554402	-0.00087157
-370.75221068	-0.00184952
-370.71887734	-0.00008800
-370.68554400	-0.00013540
-370.65221067	0.00000911
-370.61887733	-0.00120085
-370.58554399	-0.00341953
-370.55221065	-0.00185508
-370.51887731	-0.00092590
-370.48554397	-0.00151154
-370.45221063	-0.00246104
-370.41887729	-0.00278898
-370.38554396	-0.00201264
-370.35221062	-0.00262393
-370.31887728	-0.00203639
-370.28554394	-0.00118859
-370.25221060	-0.00050810
-370.21887726	-0.00089375
-370.18554392	-0.00304725
-370.15221059	-0.00230061
-370.11887725	-0.00119558
-370.08554391	-0.00080352
-370.05221057	-0.00064243
-370.01887723	-0.00034279
-369.98554389	-0.00123104
-369.95221055	-0.00140832
-369.91887722	-0.00080329
-369.88554388	-0.00030182
-369.85221054	-0.00169223
-369.81887720	-0.00101222
-369.78554386	-0.00108741
-369.75221052	-0.00107769
-369.71887718	-0.00053442
-369.68554385	0.00005462
-369.65221051	-0.00034081
-369.61887717	-0.00060132
-369.58554383	0.00010129
-369.55221049	-0.00049590
-369.51887715	-0.00094412
-369.48554381	-0.00012593
-369.45221048	-0.00070760
-369.41887714	-0.00147864
-369.38554380	-0.00039618
-369.35221046	-0.00033299
-369.31887712	-0.00015208
-369.28554378	0.00076572
-369.25221044	-0.00056381
-369.21887711	-0.00062927
-369.18554377	-0.00063849
-369.15221043	0.00087537
-369.11887709	-0.00114590
-369.08554375	-0.00039722
-369.05221041	0.00044867
-369.01887707	0.00004066
-368.98554374	0.00004611
-368.95221040	0.00162243
-368.91887706	0.00136210
-368.88554372	0.00091721
-368.85221038	0.00157986
-368.81887704	0.00188207
-368.78554370	0.00090937
-368.75221036	-0.00151453
-368.71887703	-0.00246427
-368.68554369	-0.00219173
-368.65221035	-0.00260239
-368.61887701	-0.00370358
-368.58554367	-0.00417829
-368.55221033	-0.00496814
-368.51887699	-0.00671525
-368.48554366	-0.00710514
-368.45221032	-0.00588999
-368.41887698	-0.00719375
-368.38554364	-0.00751055
-368.35221030	-0.00834779
-368.31887696	-0.00699197
-368.28554362	-0.00783385
-368.25221029	-0.00553172
-368.21887695	-0.00428344
-368.18554361	-0.00475936
-368.15221027	-0.00476789
-368.11887693	-0.00261622
-368.08554359	-0.00306590
-368.05221025	-0.00122968
-368.01887692	-0.00064375
-367.98554358	-0.00095163
-367.95221024	-0.00033922
-367.91887690	0.00007419
-367.88554356	0.00086674
-367.85221022	0.00098109
-367.81887688	0.00214513
-367.78554355	0.00136038
-367.75221021	0.00115180
-367.71887687	0.00063225
-367.68554353	0.00169339
-367.65221019	0.00145592
-367.61887685	0.00073623
-367.58554351	0.00172061
-367.55221018	0.00032801
-367.51887684	0.00006885
-367.48554350	0.00058160
-367.45221016	0.00107471
-367.41887682	0.00057772
-367.38554348	-0.00072314
-367.35221014	0.00006919
-367.31887680	-0.00104535
-367.28554347	-0.00217834
-367.25221013	-0.00241235
-367.21887679	-0.00381012
-367.18554345	-0.00321338
-367.15221011	-0.00318692
-367.11887677	-0.00328431
-367.08554343	-0.00280513
-367.05221010	-0.00393447
-367.01887676	-0.00353791
-366.98554342	-0.00318973
-366.95221008	-0.00304345
-366.91887674	-0.00293175
-366.88554340	-0.00149578
-366.85221006	-0.00245607
-366.81887673	-0.00270616
-366.78554339	-0.00215009
-366.75221005	0.00006951
-366.71887671	0.00011376
-366.68554337	-0.00018046
-366.65221003	-0.00001788
-366.61887669	0.00086500
-366.58554336	0.00054497
-366.55221002	0.00052321
-366.51887668	0.00050876
-366.48554334	-0.00089152
-366.45221000	-0.00059830
-366.41887666	-0.00195910
-366.38554332	0.00006559
-366.35220999	-0.00106700
-366.31887665	0.00025839
-366.28554331	-0.00014400
-366.25220997	-0.00059550
-366.21887663	-0.00001769
-366.18554329	-0.00072896
-366.15220995	-0.00119686
-366.11887662	-0.00064900
-366.08554328	-0.00226384
-366.05220994	-0.00173757
-366.01887660	-0.00137596
-365.98554326	-0.00213533
-365.95220992	-0.00123252
-365.91887658	-0.00078729
-365.88554325	-0.00025349
-365.85220991	-0.00021063
-365.81887657	-0.00093233
-365.78554323	-0.00116726
-365.75220989	-0.00159511
-365.71887655	-0.00198147
-365.68554321	-0.00221517
-365.65220987	-0.00284503
-365.61887654	-0.00189619
-365.58554320	-0.00212028
-365.55220986	-0.00194210
-365.51887652	-0.00218921
-365.48554318	-0.00272788
-365.45220984	-0.00245981
-365.41887650	-0.00269677
-365.38554317	-0.00308218
-365.35220983	-0.00267735
-365.31887649	-0.00163149
-365.28554315	-0.00261638
-365.25220981	-0.00151351
-365.21887647	-0.00117855
-365.18554313	-0.00386582
-365.15220980	-0.00266594
-365.11887646	-0.00187804
-365.08554312	-0.00084604
-365.05220978	-0.00206592
-365.01887644	-0.00135651
-364.98554310	-0.00191561
-364.95220976	-0.00041541
-364.91887643	-0.00069145
-364.88554309	-0.00080679
-364.85220975	-0.00224475
-364.81887641	-0.00165910
-364.78554307	-0.00337417
-364.75220973	-0.00370372
-364.71887639	-0.00450572
-364.68554306	-0.00592514
-364.65220972	-0.00642599
-364.61887638	-0.00635802
-364.58554304	-0.00827803
-364.55220970	-0.00837893
-364.51887636	-0.00845616
-364.48554302	-0.00901879
-364.45220969	-0.00955851
-364.41887635	-0.00911275
-364.38554301	-0.00867499
-364.35220967	-0.00819562
-364.31887633	-0.00692410
-364.28554299	-0.00563805
-364.25220965	-0.00415608
-364.21887632	-0.00397342
-364.18554298	-0.00415304
-364.15220964	-0.00247151
-364.11887630	-0.00112862
-364.08554296	-0.00074489
-364.05220962	-0.00122511
-364.01887628	-0.00269093
-363.98554294	-0.00365287
-363.95220961	-0.00467168
-363.91887627	-0.00526424
-363.88554293	-0.00753505
-363.85220959	-0.00886898
-363.81887625	-0.00965762
-363.78554291	-0.01164584
-363.75220957	-0.01162157
-363.71887624	-0.01271600
-363.68554290	-0.01272372
-363.65220956	-0.01261456
-363.61887622	-0.01202384
-363.58554288	-0.01101392
-363.55220954	-0.01078555
-363.51887620	-0.00670235
-363.48554287	-0.00609346
-363.45220953	-0.00529616
-363.41887619	-0.00424112
-363.38554285	-0.00345105
-363.35220951	-0.00039953
-363.31887617	-0.00102787
-363.28554283	0.00025995
-363.25220950	0.00116111
-363.21887616	0.00052100
-363.18554282	-0.00122625
-363.15220948	-0.00109728
-363.11887614	-0.00023050
-363.08554280	-0.00134204
-363.05220946	-0.00138684
-363.01887613	-0.00192695
-362.98554279	-0.00300339
-362.95220945	-0.00166759
-362.91887611	-0.00106402
-362.88554277	-0.00146426
-362.85220943	-0.00200382
-362.81887609	-0.00211505
-362.78554276	-0.00164127
-362.75220942	-0.00049207
-362.71887608	0.00081031
-362.68554274	0.00186641
-362.65220940	0.00116319
-362.61887606	0.00449391
-362.58554272	0.00498364
-362.55220939	0.00568757
-362.51887605	0.00671426
-362.48554271	0.00838203
-362.45220937	0.00940620
-362.41887603	0.01108505
-362.38554269	0.01449604
-362.35220935	0.01756857
-362.31887601	0.02003188
-362.28554268	0.02300455
-362.25220934	0.02810562
-362.21887600	0.03223189
-362.18554266	0.03626080
-362.15220932	0.04294941
-362.11887598	0.04727178
-362.08554264	0.05340567
-362.05220931	0.06109010
-362.01887597	0.06693943
-361.98554263	0.07428070
-361.95220929	0.08240804
-361.91887595	0.08994882
-361.88554261	0.09883842
-361.85220927	0.10766381
-361.81887594	0.11677087
-361.78554260	0.12591564
-361.75220926	0.13612968
-361.71887592	0.14621379
-361.68554258	0.16019991
-361.65220924	0.17126773
-361.61887590	0.18185666
-361.58554257	0.19379988
-361.55220923	0.20506049
-361.51887589	0.21541358
-361.48554255	0.22403701
